Ngày báo cáo	Ngày tạo	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác)	Tổng chi phí phát sinh trong ngày	Chi tiết giao dịch ngân hàng (tiền vào)	Chi tiết giao dịch ngân hàng (tiền ra)	Số dư tiền mặt tại quỹ	Lợi nhuận gộp theo ngày ĐVT	Tỷ lệ nợ trễ hạn thanh toán trên tổng công nợ	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác)	Tổng chi phí đã chi ra trong ngày (tiền ra) 	Chi tiết giao dịch ngân hàng (tiền vào) 	Chi tiết giao dịch ngân hàng (tiền ra) 	Số dư tiền mặt tại quỹ 	Lợi nhuận gộp theo ngày 	Chi phí quản lý, chi phí hoạt động 	Chi phí năng lượng (điện, củi, nước) 	Chi phí nhân công_hàng cắt	Chi phí nhân công_hàng aseptic 	Chi phí năng lượng (điện, củi, nước)	Giá nguyên liệu 	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác) 	Tổng chi phí đã chi ra trong ngày (tiền ra) 	Chi tiết giao dịch ngân hàng (tiền vào) 	Chi tiết giao dịch ngân hàng (tiền ra) 	Số dư tiền mặt tại quỹ 	Lợi nhuận gộp theo ngày 	Giá nguyên liệu 	Tổng doanh thu trong ngày (theo nguồn: bán hàng, dịch vụ, khác) 	Tổng chi phí đã chi ra trong ngày (tiền ra) 	Chi tiết giao dịch ngân hàng (tiền vào) 	Chi tiết giao dịch ngân hàng (tiền ra) 	Số dư tiền mặt tại quỹ 	Lợi nhuận gộp theo ngày 	Chi phí nhân công 	Doanh thu lá 	Doanh thu cây con 	Chi phí phân bón 	Giá nguyên liệu 	Vấn đề xảy ra trong ngày
45668	45669	5620	2741.472222	2826	1879.2	1.78	2691	33.56190476	487.6190476	415	1522.969524	200	160	82.5	82.5	868.5	3.9		3.605	2295	310	412	735	0	160	65.5	70.3	20.8	8.6	69.8	69.9	8	8.85	8	21.2	148	85.5	120.5	
45,669.00	45,670.00																																						
45670	45671	247	2810.505556	2457	11721	1.42	3271.8	34.24761905	443.4761905	861	1846.678095	950	148	3.8	89	857	3.6		3.708444444	2315	1820	403.5	5320	2040	2470	67	68.4	68.1	20.8	356.5	354.8	28.2	8.39	28.2	68.2	149.5	84	119	
45671	45672	7120	3293.738889	3483	2267.6	1.24	3562.2	34.59047619	421.4047619	815	1522.969524	3400	146	4.5	928	847.5	3.8		3.958777778	2370	2100	408	0	160	4980	70.5	68.22727273	21.3	21.3	126.8	127.5	19.7	8.16	19.7	20.9	151	89.5	124.5	
45672	45673	7180	3328.255556	3811.5	2656	1.06	3852.6	34.93333333	399.3333333	478.85	2170.386667	0.9	78	390	83.5	869	3.4		4.209111111	2330	2980	394.5	0	1610	525	66.8	68.25454545	8.6	8.6	70.2	70.1	19.5	7.93	19.5	9.2	150.7115385	83.5	118.5	
45673	45674	7120	2914.055556	4140	3044.4	0.88	4143	35.27619048	377.2619048	513.2604396	1522.969524	175	72	410.2	87	856.5	3.7		4.459444444	2410	195	406	0	2470	0	68.2	2040	68.7	68.7	0.01	0.01	19.6	7.7	19.6	68.6	150.6758242	86.5	121.5	
45674	45675	2016	2948.572222	2457	298.5	0.7	4433.4	35.61904762	355.1904762	547.6708791	2494.095238	275	235	205.5	90	850	3.5		4.709777778	2350	2	411	0	4980	0	67.3	160	20.6	20.6	354.5	356.2	31.5	7.47	31.5	21.1	150.6401099	88	123	
45675	45676	7180	2983.088889	4468.5	11721	0.52	4723.8	35.96190476	333.1190476	582.0813187	2655.949524	36	148	185	920.5	860	3.9		4.960111111	2260	470	395.5	302	525	2055	69.8	1610	9.1	9.1	128.2	126.3	8.2	7.24	8.2	8.6	150.6043956	82.5	117.5	
45,676.00	45,677.00																																						
45677	45678	7180	3052.122222	1512	3821.2	0.16	5304.6	36.64761905	288.9761905	650.9021978	3303.366667	87.5	149	340	84.5	870	3.8		0	2345	2090	409.5	1	0	1630	70.2	4980	21.1	21.1	0.03	0.03	8	6.78	8	20.6	150.532967	85	120	
45678	45679	7120	3086.638889	1840.5	4209.6	-0.02	5595	36.99047619	266.9047619	685.3126374	3141.512381	960	151	0.8	88.5	858	3.7		5.711111111	2285	1800	393	5340	2055	2485	66.7	525	8.8	8.8	357	355.8	28.1	6.55	28.1	9	150	87.5	122.5	
45679	45680	247	3121.155556	2169	299.5	1.78	5885.4	37.33333333	244.8333333	719.7230769	3303.366667	3420	147.5	76	915	851.5	3.4		5.961444444	2380	2120	405	0	168	5020	68.7	0	68.4	68.4	126.2	127	19.6	6.32	19.6	68.3	152.5	83	118	
45680	45681	7120	3155.672222	2457	11721	1.6	6175.8	37.67619048	222.7619048	754.1335165	3465.220952	1.2	79.5	24	80	862	3.7		6.211777778	2335	2960	410.5	0	1630	535	67.1	0	20.7	20.7	70.4	69.7	19.7	6.09	19.7	21.3	148	90	125	
45681	45682	5620	2775.988889	2497.5	4598	1.42	6466.2	38.01904762	200.6904762	788.543956	3627.075238	190	74.5	3.2	83	846	3.5		6.462111111	2420	200	396	0	2485	0	69.3	2055	9.3	9.3	0.02	0.02	19.5	5.86	19.5	8.9	155	84.5	119.5	
45682	45683	5120	3224.705556	2826	4986.4	1.24	6756.6	38.36190476	178.6190476	822.9543956	3788.929524	290	250	4	86	871.5	3.9		6.712444444	2365	0	402.5	0	5020	0	65.8	168	67.9	67.9	355.2	356.5	31.4	5.63	31.4	68.7	149.5	86	121	
45,683.00	45,684.00																																						
45684	45685																																						
45685	45686																																						
45686	45687																																						
45687	45688																																						
45688	45689																																						
45689	45690																																						
45690	45691																																						
45691	45692																																						
45692	45693	7120	3569.872222	2457	6540	2.2	9660.6	41.79047619	3	1167.058791	5334.286095	33	149	3.6	84	874.5	3.8		9.215777778	2325	330	403	755	160	175	67.7	2176.083538	20.5	20.5	69.7	69.6	8	3.33	8	21.2	151.5	88	123	
45693	45694	2016	3604.388889	5125.5	7705.2	3.31	9951	42.13333333	463.8979592	1201.469231	5493.677381	195	147	4.8	90.5	852	3.9		9.466111111	2370	2100	408.5	3	1610	1640	69.9	2248.104503	9.2	9.2	0.03	0.02	8.2	3.1	8.2	8.7	153	82.5	117.5	
45694	45695	7120	3638.905556	5454	1000	3.976	10241.4	42.47619048	530.3741497	1235.87967	5653.068667	207.1	146.5	385	95	861	3.7		9.716444444	2305	1785	391	5360	2470	2495	65.6	2320.125469	67.7	67.7	357.2	355.2	28	2.87	28	68.6	147.5	90.5	125.5	
45695	45696	990.5	3673.422222	2497.5	5763.2	4.642	10531.8	42.81904762	596.8503401	1270.29011	5812.459952	232.2	144	415.5	890	850	3.6		0	2400	2140	405.5	0	4980	5070	70.3	2392.146434	21.2	21.2	126.3	127.1	19.7	2.64	19.7	20.8	155.5	85	120	
45696	45697	7120	3707.938889	2826	6151.6	5.308	10822.2	43.16190476	663.3265306	1304.700549	5971.851238	257.3	81	210	79.5	868	3.4		10.21711111	2350	2120	410	0	525	550	66.9	2464.167399	8.6	8.6	70.1	70.5	19.5	2.41	19.5	9	150	87.5	122.5	
45,697.00	45,698.00																																						
45698	45699	7120	3776.972222	2457	5367.973333	6.64	11403	43.84761905	796.2789116	1373.521429	6290.63381	307.5	242	345	92	876	3.65		10.71777778	2385	200	402	0	0	0	67.2	2608.209329	20.8	20.8	355.5	357	31.3	1.95	31.3	21.1	148	90	125	
45699	45700	990.5	3949.555556	3483	5259.927619		11693.4	44.19047619	862.755102	1407.931868	6450.025095	332.6	153	1	85.5	865.1071429	3.65		10.96811111	2340	0	407.5	297	535	2495	69.6	2680.230294	67.7	9.2	70.2	127.1	30.06	1.72	43	9	155	84.5	119.5	
45700	45701	7120	5853	3811.5	5151.881905		11983.8	44.53333333	929.2312925	1442.342308	6609.416381	357.7	157.5	79	88	866.422619	3.65		11.21844444	2430	475	391	741	0	5070	14.9	2752.251259	21.2	67.7	0.01	70.5	8.1	1.49	54.7	68.4	149.5	86	121	
45701	45702	7120	3880.522222	4140	300.5	8.638	12274.2	44.87619048	995.707483	1476.752747	6768.807667	382.8	151	26.5	935	867.7380952	3.65		11.46877778	2375	315	405.5	0	0	550	69.5	2824.272224	8.6	21.2	354.5	0.01	28.1	1.26	66.4	21.1	151	88.5	123.5	
45702	45703	2016	3915.038889	2457	11721	9.304	12564.6	45.21904762	1062.183673	1511.163187	6928.198952	407.9	148	3.6	82.5	869.0535714	3.9		11.71911111	2240	2070	410	5311	2035	0	71	2896.293189	68.8	8.6	128.2	0.02	19.6	1.03	78.1	9	153.5	82	117	
45703	45704	1153	3949.555556	4468.5	4827.744762	9.97	12855	45.56190476	1128.659864	1545.573626	7087.590238	433	0	437.3	0	870.3690476	3.7		11.96944444	2398	1810	395	0	162	0	67.2	2968.314154	20.8	68.8	69.6	354.8	19.6	0.8	89.8	68.4	147	91	126	
45,704.00	45,705.00																																						
45705	45706	1153	88.5	1317	141	2.2	197	33	1353	1407.931868	6.6	0	66.7	405.9	83	850	3.65	2.6	0.85	2307	2060	407.5	741	165	14.9	71	3112.356084	20.9	8.9	127	127.2	8.1	0.34	10.5	20.9	150.5	87	122	
45706	45707	2016	1635	952.5	701.5	2.2	503	33	697	3.2	861	169.7	0	209.1	85	850	3.55	2.6	0.85	2272	1814	394.5	0	1615	14.9	67.2	3184.377049	0	68.9	127	70.3	8.1	0.11	10.6	0	152	84	119	
45707	45708	247	190	2457	11721	2.2	57	32	570	1098.237912	815	270	232	171	86	850	3.65	2.7	0.85	2320	2106	406	5311	2479	14.9	78	3256.398014	8.9	8,5	70	20	28.1	7.7	10.2	8.9	149	89.5	124.5	
45708	45709	7392	6320	23023.6	100	2.2	1837	31	1152	836	725	35	147	345.6	931	867	3.65	2.7	0.85	2275	2968	411	0	5000	14.9	70.3	3328.418979	68.3	8,6	0.02	19.9	19.6	7.47	8.1	68.3	154.5	83.5	118.5	
45709	45710	468	390	100	0	2.2	78	32	3	1076.605769	0	206	147	0.9	86	846.5	3.65	2.7	0.85	2398	199	395.5	0	531	14.9	78	3400.439944	29.48	0	0		19.6	7.24	8	68.1	148.5	86.5	121.5	
45710	45711	990.5	750	1493	876.8	2.2	240.5	32.19	260	1212.256374	49.4	86	147	78	910	876	3.65	2.7	0.85	2358	0	0	0	0	14.9	67	3472.460909	28.18	0	0	0.05	19.6	7.01	8.2	21	151.5	88	123	
45,711.00	45,712.00																																						
45712	45713	666.8875	3880.522222	2826	701.5	7.306	188.39	41.79047619	1344	1483.557582	416	3366	147	171	89.5	935	3.691071429		2.6	2375	1785	402	5311	2050	2495	14.9	3616.502839	25.58	69.9	128.2	127.5	23.61666667	2.18	8	68.5	147.5	90.5	125.5	
45713	45714	7120	5853	295.5	1000	2.2	1267	33	11.5	2.9	415	0.8	77	3.5	82	850	3.5	2.6	0.9	2334	317		297	2046	14.9		3688.523804					8.1		11					
45714	45715	1153	88.5	1317	141	2.2	197	33	1353		6.6		66.7	405.9	83	850	3.7	2.6	0.9	2307	2060		741	165	14.9		3760.544769	20.9				8.1		10.5	20.9				
45715	45716	2016	1635	952.5	701.5	2.2	503	33	697	3.2	861	169.7		209.1	85	850	3.6	2.6	0.9	2272	1814		0	1615	14.9		3832.565734			127		8.1		10.6					
45716	45717	247	190	2457	11721	2.2	57	32	570		815	270	232	171	86	850	3.7	2.7	0.9	2320	2106		5311	2479	14.9			8.9		70	20	28.1		10.2	8.9				
45717	45718	7392	6320	23023.6	100	2.2	1837	31	1152	836	725	35	147	345.6	931	867	3.7	2.7	0.9	2275	2968		0	5000	14.9			68.3	8.6	0.02	19.9	19.6			68.3				
45,718.00	45,719.00																																						
45719	45720	990.5	750	1493	876.8	2.2	240.5	32.2	260		49.4	86	147	78			3.7	2.7	0.9	2358	0		0	0	14.9						0.05	19.6							
45720	45721	7120	3328.255556	3483	11721	0.7	7627.8	39.39047619	2999		5344	943	147	25.5			3.7	2.7	0.9		0		0	0	14.9						0.05	19.6							
45721	45722	7180	3362.772222	3811.5	5763.2	0.52	7918.2	39.73333333	1344		416	3366	147								468	401	0	0	14.9	67	0		58.2	355.5	640.32	31.4							
45722	45723	990.5	3293.738889	2457	300.5	0.88	7337.4	39.04761905	134.4761905	891.7752747	4059.15581	45	158	430.8	85	850	3.7		7.213111111	2315	315	392.5	738	0	162	66.3	1599.915818	8.4	8.4	69.9	70.2	8.2	5.17	8.2	9.1	153.5	82	117	
45723	45724	7120	3328.255556	3483	11721	0.7	7627.8	39.39047619	112.4047619	926.1857143	4218.547095	225	152	220	89.5	864	3.8		7.463444444	2360	2070	406.5	0	0	1605	68.9	1671.936783	68.6	68.6	0.01	0.01	8.1	4.94	8.1	68.1	147	91	126	
45724	45725	7180	3362.772222	3811.5	5763.2	0.52	7918.2	39.73333333	90.33333333	960.5961538	4377.938381	92	150.5	200	93	847	3.5		0	2295	1810	411.5	5315	2035	2460	67.4	1743.957748	20.9	20.9	356.8	354.5	28.3	4.71	28.3	21	156	85.5	120.5	
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
