Ngày báo cáo	Ngày tạo	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng lá thu hoạch (tấn )	Sản lượng cây con (ngàn cây)	Doanh thu bán lá và cây con (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng dưa thu hoạch (tấn)	Doanh thu bán dưa (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng táo thu hoạch (tấn)	Doanh thu bán táo (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người )	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng cỏ thu hoạch (tấn)	Doanh thu bán cỏ (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người)	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng bắp thu hoạch (tấn)	Doanh thu bán bắp (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người)	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng phân compost thành phẩm (tấn)	Doanh thu bán phân (triệu)	Lợi nhuận gộp (triệu)	Số lượng nhân sự (người)	Chi phí vật tư, nhiên liệu (triệu)	Sản lượng táo sấy thành phẩm (tấn)	Doanh thu bán táo sấy (triệu)	Lợi nhuận gộp (triệu)	Số giờ đào tạo (giờ)	Số hạng mục đào tạo	Số lượng Kaizen (được ứng dụng)	Số lượng khen thưởng	Vấn đề xảy ra trong ngày
45,668.0	45669	4	0.47	2.25	0.83	9.71	5.25	5	0.82	0.51	2.8	0.83	4	1.7	0.83	11.75	9.11	3	0.94	3.61	1.78	0.11	2	0.45	0.46	1.63	0.66	3	6.09	13.24	20.21	13.4	2	4.97	1.3	34.3	28.8	6.0	2.0	0.0	0.0	
45,669.0	45,670.00	0	0	3.48	1.13	4.69	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0	0	0	0	0	
45,670.0	45671	5	0.19	3.02	1.85	5.16	7.4	6	0.29	0.06	1.57	-0.08	4	1.13	0.69	9.57	7.5	3	0.93	3.25	2.78	1.12	3	0.18	0.73	1.71	0.8	3	6.18	11.16	12.31	5.4	3	4.72	1.0	38.3	32.8	0.0	0.0	0.0	0.0	
45,671.0	45672	4	0.46	0.4	0	1.63	0.15	6	1.05	0.02	1.86	-0.55	5	1.66	0.8	8.84	6.03	2	0.48	3.63	2.64	1.64	2	0.93	0.25	1.49	0.04	3	5.02	11.72	13.62	7.9	3	4.87	0.2	40.8	35.2	0.0	0.0	0.0	0.0	
45,672.0	45673	4	0.58	1.66	1.45	0	2.1	5	0.16	0.29	0.24	-1.07	3	1.14	0.92	8.43	6.56	2	0.6	3.35	2.08	0.96	3	0.16	0.69	1.46	0.57	2	4.46	10.16	14.18	9.2	3	2.32	0.3	44.7	41.6	0.0	0.0	0.0	0.0	
45,673.0	45674	5	0.25	0	0.75	8.5	4.9	5	0.47	1	0.82	-0.8	4	1.15	0.94	8.58	6.49	3	0.82	3.58	2.76	1.21	3	0.45	0.35	1.7	0.52	3	7.66	11.78	21.79	13.4	3	3.91	0.9	47.0	42.4	0.0	0.0	0.0	0.0	
45,674.0	45675	4	0.11	3.8	0.5	0	0	6	0.58	0.93	1.77	-0.17	5	0.57	0.55	7.14	5.42	2	1.09	3.16	2.81	1.2	2	0.39	0.76	1.01	0.1	2	7.48	14.25	19.18	11.2	2	2.87	1.2	45.8	42.4	4.0	2.0	0.0	0.0	
45,675.0	45676	5	0.28	0	1.6	2.3	8	6	0.73	0.01	1.68	-0.41	3	0.36	0.28	8.15	7.06	2	0.57	3.76	2.9	1.81	3	0.49	0.38	1.43	0.21	3	7.69	10.49	20.74	12.3	3	2.33	0.3	46.4	43.4	0.0	0.0	0.0	0.0	
45,676.0	45,677.00	0	0	1.5	0	6.8	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	
45,677.0	45678	4	0.31	2.3	1.25	0.95	5.75	6	0.32	0.95	0.52	-1.16	3	0.87	0.83	10.3	8.7	3	0.92	3.49	1.3	-0.35	2	0.45	0.53	1.91	0.94	3	6.52	17.87	21.4	14.2	2	4.74	0.0	45.3	40.1	0.0	0.0	0.0	0.0	
45,678.0	45679	5	0.15	0.75	0.4	4.25	0	6	0.95	0.94	1.35	-0.96	5	1.48	0.31	13.22	10.59	2	0.59	3.58	1.78	0.67	3	0.39	0.04	1.07	-0.05	2	7.45	9.7	15.74	7.8	3	2.98	1.5	47.6	43.9	0.0	0.0	0.0	0.0	
45,679.0	45680	5	0.16	3.2	1.7	0	2.45	6	0.02	0.71	0.64	-0.74	5	1.2	0.8	8.31	5.96	2	0.22	3.58	1.51	0.77	2	0.62	0.8	1.4	0.26	2	7.96	11.57	14.38	5.9	2	3.73	0.5	46.3	42.1	0.0	0.0	0.0	0.0	
45,680.0	45681	5	0.31	0	0	7.9	7.9	6	0.96	0.56	0.16	-2.16	4	0.32	0.13	7.65	6.39	2	0.37	3.26	2.63	1.74	3	0.33	0.07	1.25	0.19	3	5.79	11.6	14.71	8.2	3	3.51	0.6	27.8	23.6	0.0	0.0	0.0	0.0	
45,681.0	45682	4	0.65	2.4	0.85	0	1.5	6	0.18	0.66	2.1	0.56	3	0.85	0.79	6.01	4.43	3	0.54	3.85	2.81	1.54	3	0.7	0.47	1.24	-0.19	3	7.28	9.58	20.02	12.0	3	4.03	1.1	32.7	28.0	0.0	0.0	0.0	0.0	
45,682.0	45683	4	0.11	0	1.2	9.2	6.2	6	0.25	0.38	2.98	1.37	4	1.16	0.19	6.66	4.56	2	0.72	3.61	2.53	1.29	3	0.6	0.45	1.21	-0.12	2	7.34	11.23	18.55	10.7	2	4.12	0.4	36.6	31.9	0.0	0.0	0.0	0.0	
45,683.0	45,684.00	0	0	4.1	1.9	5.3	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	
45684	45685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0		
45685	45686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0		
45686	45687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0		
45687	45688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0		
45688	45689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0		
45689	45690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0		
45690	45691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0		
45691	45692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0		
45,692.0	45693	4	0.09	0	0.7	5.9	1.75	5	0.49	0.4	1.23	-0.41	5	0.07	0.31	11.04	9.82	3	0.75	3.7	2.66	1.18	2	0.52	0.62	1.63	0.59	2	7.66	15.27	15.34	7.2	3	4.33	0.3	40.5	35.4	2.0	1.0	0.0	0.0	
45,693.0	45694	5	0.25	3.3	1.65	0	6.5	6	0.64	0.52	2.87	0.87	3	0.46	0.4	12.57	11.38	3	0.99	3.46	1.16	-0.56	3	0.88	0.9	1.73	0.12	2	6.48	13.25	14.17	7.2	3	4.59	0.7	48.3	43.0	0.0	0.0	0.0	2.0	
45,694.0	45695	4	0.23	0	0	7.4	3	6	0.53	0.68	0.19	-1.7	3	1.48	0.38	8.04	5.83	3	1.09	3.44	1.03	-0.79	2	0.5	0.64	1.6	0.58	3	5.21	13.97	15.15	9.2	3	3.85	1.4	48.8	44.2	0.0	0.0	0.0	2.0	
45,695.0	45696	4	0.54	3.9	1.3	2	0.9	6	0.2	0.45	0.21	-1.35	4	0.22	0.69	6.4	5.24	2	0.52	3.58	2.39	1.35	2	0.39	0.92	1.85	0.94	2	4.16	12.81	22.74	18.1	2	4.06	0.2	26.8	22.2	0.0	0.0	0.0	0.0	
45,696.0	45697	5	0.31	0.6	0.6	3.8	4.4	6	0.6	0.93	0.68	-1.28	4	1.01	0.37	13.28	11.33	2	0.68	3.58	2.02	0.82	2	0.2	0.5	1.24	0.52	2	7.13	13.74	18.88	11.2	2	2.51	0.9	40.9	37.9	4	2	0.0	0	
45,697.0	45,698.00	0	0	1.8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	
45,698.0	45699	5	0.36	2.1	0.75	8.44	6.93	6	0.41	0.43	1.46	-0.31	5	1.78	0.62	8.37	5.44	3	1.02	3.15	2.97	1.22	2	0.8	0.57	1.39	0.07	3	5.07	9.42	16.86	11.1	3	2.62	1.6	38.8	35.5	0	0	0.0	0	
45,699.0	45700	4	0.46	3.13	0.26	1.37	-0.03	6	1.22	0.16	2.56	-0.02	3	1.38	0.79	12.47	10.36	2	0.98	3.77	1.9	0.4	3	0.39	0.14	1.61	0.49	2	5.03	10.42	20.8	15.3	3	3.04	0.1	32.2	28.4	0	0	0.0	0	
45,700.0	45701	5	0.5	0.37	0.37	3.76	2.11	6	1.48	0.76	2.05	-0.79	4	0.34	0.18	7.43	6.15	3	0.46	3.72	2.96	1.77	2	0.61	0.21	1.86	0.73	3	6.73	17.33	20.9	13.4	2	3.2	1.9	31.1	27.4	0	0	0.0	0	
45,701.0	45702	4	0.19	0.82	0.14	8.08	6.95	5	0.24	0.85	1.06	-0.33	3	0.29	0.76	5.75	4.73	3	0.15	3.48	1.52	0.64	2	0.93	0.86	1.1	-0.35	3	7.77	15.39	17.6	9.1	3	4.42	1.7	48.3	43.2	3	2	0.0	0	
45,702.0	45703	5	0.02	1.5	0.88	6.89	5.72	5	0.92	0.83	1.94	-0.13	5	1.63	0.12	9.29	6.51	2	1.09	3.14	1.94	0.33	2	0.46	0.36	1.84	0.86	2	5.9	11.82	20.74	14.3	2	2.85	1.7	30.0	26.6	2.0	1.0	0.0	0.0	
45,703.0	45704	5	0.59	0.25	1.39	0.17	-1.57	6	0.49	0.69	0.11	-1.74	3	1.45	0.69	5.57	3.39	3	0.86	3.77	1.39	-0.2	2	0.46	0.09	1.04	0.06	2	7.37	10.36	22.71	14.8	2	4.15	1.6	25.9	21.2	0.0	0.0	0.0	0.0	
45,704.0	45,705.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	
45,705.0	45706	4	0.44	3.82	0.69	1.05	-0.33	6	1.44	0.67	0.95	-1.85	3	1.57	0.05	7.36	5.06	3	0.73	3.45	1.79	0.33	3	0.38	0.62	1.77	0.66	3	6.57	12.37	17.3	10.0	2	4.25	1.6	34.3	29.5	0.0	0.0	0.0	0.0	
45,706.0	45707	4	0.19	1.91	1.56	7.94	6.81	5	0.55	0.58	0.68	-1.02	5	0.81	0.39	6.69	4.73	3	0.77	3.92	1.84	0.34	2	0.44	0.52	1.33	0.37	2	4.83	12.59	22.56	17.2	3	2.59	1.5	46.1	42.8	0.0	0.0	0.0	0.0	
45,707.0	45708	4	0.06	0.09	0.05	3.96	2.96	6	1	0.73	2.38	0.02	3	0.74	0.47	11.55	10.08	3	0.16	3.38	2.9	2.01	3	0.55	0.78	1.15	-0.13	2	5.82	16.55	18.42	12.1	2	3.87	1.5	43.2	38.8	0.0	0.0	0.0	0.0	
45,708.0	45709	5	0.57	0.57	1.19	9.11	7.39	6	0.69	0.92	2.89	0.84	4	0.91	0.37	11.88	10.03	2	0.47	3.46	2.12	1.13	2	0.66	0.72	1.93	0.75	3	4.05	9.29	18.05	13.3	2	2.78	1.1	39.0	35.7	0.0	0.0	0.0	1	
45,709.0	45710	4	0.19	3.69	0.02	2.8	1.67	6	1.23	0.68	2.19	-0.4	5	1.14	0.87	7.94	5.65	3	0.71	3.85	1.88	0.44	3	0.55	0.21	1.55	0.27	3	6.84	11.59	14.35	6.8	3	2.52	0.2	33.3	30.1	0.0	0.0	0.0	0	
45,710.0	45711	5	0.56	2.97	1.35	3.46	1.75	6	0.76	0.13	2.37	0.25	4	0.46	0.43	5.17	3.77	3	0.98	3.99	2.22	0.51	3	0.89	0.03	1.61	-0.01	2	5.08	10.94	16	10.4	2	2.52	0.3	34.5	31.4	0.0	0.0	0.0	0	
45,711.0	45,712.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	
45712	45713	5	0.7	4	0	9.37	7.52	6	0	0	0	-1.72	3	1.5	0.7	14	11.4	3	0.1	4	2.6	1.67	2	1.2	0	0	-1.62	3	4.9	11.3	14.7	8.6	2	4.3	17	42.5	37.28	0	0	0	0	
45713	45714	4	0	0	0	0	-0.94	6	0	0	0	-1.72	3	0	0	0	-1.1	3	0.1	4	2.6	1.67	2	0.1	0	0	-0.52	3	4.9	11.3	14.7	8.6	2	5.1	0.2	50	43.98	0	0	0	0	
45714	45715	4	0.1	0	0	0	-1.04	6	0	0	0	-1.72	5	1.8	0.5	10	6.7	3	0.1	4	2.6	1.67	2	0.1	0	0	-0.52	3	5.2	11.3	14.7	8.3	2	2.6	0.1	25	21.48	0	0	0	0	
45715	45716	4	0	0	0	0	-0.94	6	1.5	0	0	-3.26	5	1.8	0	0	-3.6	3	0.1	4	2.6	1.67	2	1.2	0	0	-1.62	3	7.5	17.2	22.4	13.7	2	4.2	0.17	42.5	37.38	0	0	0	0	
45716	45717	4	0.1	0	0.3	0.75	-0.29	6	1.2	0	0	-2.96	5	1.8	0.7	14	10.5	3	1.1	4	2.6	0.67	2	0.1	0	0	-0.52	3	4.3	9.5	12.4	6.9	2	3.4	0.13	32.5	2818	0	0	0	1	
45717	45718	4	0.29	1.49	1.35	4.98	3.75	5	1.22	0.89	2.05	-0.32	3	1.57	0.47	11.39	9.09	3	0.67	3.29	1.06	-0.34	2	0.39	0.24	1.05	0.14	2	4.95	17.49	14.31	8.8	2	4.89	0.9	34.3	28.9	0	0	0	0	
45,718.00	45,719.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45719	45720	4	0.64	2.56	0.96	6.24	4.66	6	0.19	0.9	1.5	-0.05	3	1.56	0.63	6.99	4.7	3	0.14	3.99	1.55	0.68	2	0.63	0.81	1.48	0.33	3	7.57	10.33	18.44	10.1	3	4.19	0.5	38.8	33.8	0	0	0	0	
45720	45721	5	0.49	2.25	1.51	4.5	2.86	6	0.85	0.72	2.91	0.7	5	0.22	0.08	7.11	5.74	3	0.2	3.42	2.23	1.3	2	0.96	0.88	1.16	-0.32	2	5.74	16.56	21.6	15.3	2	3.33	0.9	33.6	29.8	0	0	0	0	
45721	45722	5	0.18	3.48	1.93	9.71	8.38	6	0.66	0.77	1.8	-0.22	3	1.51	0.56	10.02	7.78	3	0.35	3.86	2.23	1.15	3	0.4	0.25	1.66	0.53	2	4.8	11.7	12.69	7.4	3	3.72	1.8	41.0	36.6	2	1	0	0	
45722	45723	5	0.64	3.02	0.83	4.69	2.9	5	0.95	0.83	2.64	0.54	4	0.96	0.58	5.74	3.84	3	0.12	3.78	2.5	1.65	3	0.86	0.35	1.19	-0.4	2	6.32	16.79	15.06	8.2	2	4.52	1.3	31.0	26.0	2	1	0	0	
45723	45724	4	0.16	0.4	1.13	5.16	4.06	6	0.26	0.87	2.47	0.85	4	1.27	0.58	10.67	8.46	3	0.11	3.71	1.29	0.45	3	0.46	0.91	1.39	0.2	3	5.66	17.4	14.01	7.6	3	4.49	0.7	28.6	23.4	0	0	0	0	
45724	45725	5	0.46	1.66	1.85	1.63	0.02	6	0.87	0.83	1.56	-0.67	3	0.34	0.05	6.36	5.29	3	0.32	3.63	1.86	0.81	3	0.62	0.55	1.82	0.47	2	5.25	16.73	15.49	9.7	3	2.02	1.0	40.8	38.1	0	0	0	0	
