Ngày báo cáo	Ngày tạo	Số lượng dự án đang triển khai	Số lượng dự án bị trì hoãn	Số lượng yêu cầu mẫu mới phát sinh trong ngày	Số lượng yêu cầu mẫu hoàn thành và bàn giao trong ngày	Số lượng NVL mới or SP đối thủ được đánh giá trong ngày	Số lượng chứng từ liên quan mẫu được phát hành theo mẫu (Ingredient, COA, Spec, Flowchart)	Số lượng BOM, công thức, Spec (NVL, thành phẩm), Ingredient được phát hành sản xuất	Số lượng BOM báo giá theo yêu cầu phòng KD	Số lượng sản phẩm cải tiến hoàn thành	Số lượng cải tiến quy trình sản xuất (QTSX) trong ngày	Mức độ giảm chi phí nhờ cải tiến QTSX (VNĐ hoặc %)	Mức độ giảm chi phí nhờ cải tiến nguyên vật liệu (VNĐ hoặc %)	Số lượng Hồ sợ tự công bố đã được duyệt	Vấn đề xảy ra trong ngày
45,701.0	45702	2.0	0	5	0.0	0.0	0.0	0.0	2.0	0	0.0	0	0	0.0	
45,702.0	45703	0.0	0	2	0.0	0.0	2.0	2.0	0.0	0	0	0	0	0.0	
45,703.0	45704	0	0	1	0	0	0	0	0	0	0	0	0	0	
45,704.0	45,705.00	0	0	5	4	27	0	0	2	0	0	0	0	0	
45,705.0	45706	0	0	2	1	0	0	1	0	0	1	0	0	0	
45,706.0	45707	2	0	2	2	0	5	0	0	0	0	0	0	12	
45,707.0	45708	2	0	3	0	0	0	2	0	0	0	0	0	12	
45,708.0	45709	0	0	1	1	0	0	2	0	0	0	0	0	0	
45,709.0	45710	0	0	2	2	0	2	0	0	0	0	0	0	0	
45,710.0	45711	0	0	2	2	0	0	2	0	0	0	0	0	0	
45,711.0	45,712.00	0	0	2	1	0.0	0	0	0	0	0	0	0	0	
45712	45713	0	0	5.0	4.0	27	0.0	0	2	0	0	0	0	0	
45713	45714	0	0	2.0	1.0	0.0	0.0	1	0	0	1	0	0	0	
45714	45715	0	0	2.0	2.0	0.0	0.0	0	0	0	0	0	0	12	
45715	45716	0.0	0.0	3.0	0.0	0.0	5.0	2	0.0	0.0	0.0	0	0	12.0	
45716	45717	0.0	0	1.0	1.0	0.0	0.0	2.0	0	0	0	0	0	0.0	
45717	45718	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0	0	0.0	0	0	0.0	
45,718.00	45,719.00	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	
45719	45720	2.0	0.0	2.0	2.0	0.0	5.0	0.0	0	0.0	0.0	0	0	0.0	
45720	45721	2.0	0	2.0	1.0	0.0	0.0	1.0	0	0	0	0	0	0.0	
45721	45722	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0	0.0	0	0	0.0	
45722	45723	2.0	0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0.0	
45723	45724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	
45724	45725	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	
